"Artist","Genres"
"Calyx&TeeBee","liquid funk"
"Calyx&TeeBee","neurofunk"
"Varien","chillstep"
"Varien","complextro"
"Varien","dark clubbing"
"Varien","downtempo"
"Varien","edm"
"Varien","electro house"
"Varien","filthstep"
"Varien","gaming edm"
"ABBA","europop"
"ABBA","swedish pop"
"Ran-D","classic hardstyle"
"Ran-D","rawstyle"
"Ran-D","tekk"
"AldousHarding","ambient folk"
"AldousHarding","art pop"
"AldousHarding","chamber pop"
"AldousHarding","dunedin indie"
"AldousHarding","freak folk"
"AldousHarding","indie folk"
"AldousHarding","nz folk"
"AldousHarding","nz pop"
"AldousHarding","nz singer-songwriter"
"K.Flay","alt z"
"K.Flay","electropop"
"K.Flay","escape room"
"K.Flay","hip pop"
"K.Flay","indie poptimism"
"K.Flay","modern alternative rock"
"K.Flay","modern rock"
"K.Flay","pop"
"K.Flay","rock"
"DomDolla","australian house"
"DomDolla","deep groove house"
"DomDolla","edm"
"DomDolla","house"
"GRiZ","edm"
"GRiZ","electronic trap"
"GRiZ","electropop"
"GRiZ","jamtronica"
"GRiZ","jazztronica"
"GRiZ","livetronica"
"PinkFloyd","album rock"
"PinkFloyd","art rock"
"PinkFloyd","classic rock"
"PinkFloyd","progressive rock"
"PinkFloyd","psychedelic rock"
"PinkFloyd","rock"
"PinkFloyd","symphonic rock"
"Apashe","bass trap"
"Mercer","electro house"
"FlightoftheConchords","Unknown"
"Ehrling","tropical house"
"Uamee","hard bass"
"TheBrothersFour","adult standards"
"TheBrothersFour","american folk revival"
"TheBrothersFour","brill building pop"
"TheBrothersFour","easy listening"
"TheBrothersFour","folk"
"TheBrothersFour","folk rock"
"TheBrothersFour","vocal harmony group"
"Soulji","gaming edm"
"FISHER","australian house"
"FISHER","house"
"Loud","dance pop"
"Loud","edm"
"Loud","electro house"
"Loud","house"
"Loud","pop"
"Loud","pop dance"
"Loud","pop edm"
"Loud","tropical house"
"KidCudi","hip hop"
"KidCudi","ohio hip hop"
"KidCudi","rap"
"Yes","album rock"
"Yes","art rock"
"Yes","classic rock"
"Yes","hard rock"
"Yes","jazz fusion"
"Yes","progressive rock"
"Yes","rock"
"Yes","symphonic rock"
"Worakls","deep minimal techno"
"Worakls","minimal techno"
"Worakls","new french touch"
"Worakls","tropical house"
"JamesLast","adult standards"
"JamesLast","easy listening"
"IsaiahRashad","hip hop"
"IsaiahRashad","rap"
"IsaiahRashad","tennessee hip hop"
"IsaiahRashad","underground hip hop"
"Helion","melbourne bounce international"
"ÉdithPiaf","Unknown"
"ZedsDead","brostep"
"ZedsDead","canadian electronic"
"ZedsDead","dubstep"
"ZedsDead","edm"
"ZedsDead","electro house"
"ZedsDead","electronic trap"
"ZedsDead","pop dance"
"ZedsDead","progressive electro house"
"ZedsDead","vapor twitch"
"TechN9neCollabos","country rap"
"TechN9neCollabos","kansas city hip hop"
"TechN9neCollabos","rap rock"
"LaBandaGorda","latin"
"LaBandaGorda","merengue"
"LaBandaGorda","tropical"
"DarrenStyles","bouncy house"
"DarrenStyles","happy hardcore"
"DarrenStyles","hardcore techno"
"MASTERBOOTRECORD","darksynth"
"ChrisWebby","indie pop rap"
"ChrisWebby","pop rap"
"ChrisWebby","rap"
"TheUpstairs","focus"
"TheUpstairs","relaxative"
"Lorn","glitch hop"
"Lorn","wonky"
"LosTupamaros","classic colombian pop"
"LosTupamaros","cumbia"
"LosTupamaros","tropical"
"QuintettoX","Unknown"
"LoudLuxury","dance pop"
"LoudLuxury","edm"
"LoudLuxury","electro house"
"LoudLuxury","house"
"LoudLuxury","pop"
"LoudLuxury","pop dance"
"LoudLuxury","pop edm"
"LoudLuxury","tropical house"
"BenSalisbury","soundtrack"
"Jauz","bass house"
"Jauz","brostep"
"Jauz","edm"
"Jauz","electro house"
"Jauz","electronic trap"
"Jauz","house"
"Jauz","pop dance"
"Jauz","vapor twitch"
"MikeWilliams","big room"
"MikeWilliams","edm"
"MikeWilliams","electro house"
"MikeWilliams","future house"
"MikeWilliams","house"
"MikeWilliams","pop dance"
"MikeWilliams","pop edm"
"MikeWilliams","progressive electro house"
"MikeWilliams","tropical house"
"R3HAB","dance pop"
"R3HAB","dutch house"
"R3HAB","edm"
"R3HAB","electro house"
"R3HAB","pop"
