"artistName","album","trackName","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genres"
"JOYRYDE","BRAVE","BROOKLYN","7K9Z3yFNNLv5kwTjQYGjnu",0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,145611,4,"edm"
"JOYRYDE","BRAVE","BROOKLYN","7K9Z3yFNNLv5kwTjQYGjnu",0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,145611,4,"electro house"
"JOYRYDE","BRAVE","BROOKLYN","7K9Z3yFNNLv5kwTjQYGjnu",0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,145611,4,"electronic trap"
"JOYRYDE","BRAVE","FAIL ME","7EXG6VT3QCzeHN7mlcAvrp",0.736,0.984,7,-0.476,1,0.0775,0.0568,0.0684,0.118,0.0373,125.008,311232,4,"bass house"
"JOYRYDE","BRAVE","FAIL ME","7EXG6VT3QCzeHN7mlcAvrp",0.736,0.984,7,-0.476,1,0.0775,0.0568,0.0684,0.118,0.0373,125.008,311232,4,"edm"
"JOYRYDE","BRAVE","FAIL ME","7EXG6VT3QCzeHN7mlcAvrp",0.736,0.984,7,-0.476,1,0.0775,0.0568,0.0684,0.118,0.0373,125.008,311232,4,"electro house"
"JOYRYDE","BRAVE","FAIL ME","7EXG6VT3QCzeHN7mlcAvrp",0.736,0.984,7,-0.476,1,0.0775,0.0568,0.0684,0.118,0.0373,125.008,311232,4,"electronic trap"
"JOYRYDE","BRAVE","FOCUS","3tZs3nVjySLbL320lP4mvs",0.415,0.313,1,-12.945,0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953,200133,4,"bass house"
"JOYRYDE","BRAVE","FOCUS","3tZs3nVjySLbL320lP4mvs",0.415,0.313,1,-12.945,0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953,200133,4,"edm"
"JOYRYDE","BRAVE","FOCUS","3tZs3nVjySLbL320lP4mvs",0.415,0.313,1,-12.945,0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953,200133,4,"electro house"
"JOYRYDE","BRAVE","FOCUS","3tZs3nVjySLbL320lP4mvs",0.415,0.313,1,-12.945,0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953,200133,4,"electronic trap"
"JOYRYDE","BRAVE","GOT REAL","3ZNUTqogBIAOxyFE34FlRu",0.87,0.958,6,-3.649,0,0.162,0.00542,0.0678,0.566,0.741,127.009,272126,4,"bass house"
"JOYRYDE","BRAVE","GOT REAL","3ZNUTqogBIAOxyFE34FlRu",0.87,0.958,6,-3.649,0,0.162,0.00542,0.0678,0.566,0.741,127.009,272126,4,"edm"
"JOYRYDE","BRAVE","GOT REAL","3ZNUTqogBIAOxyFE34FlRu",0.87,0.958,6,-3.649,0,0.162,0.00542,0.0678,0.566,0.741,127.009,272126,4,"electro house"
"JOYRYDE","BRAVE","GOT REAL","3ZNUTqogBIAOxyFE34FlRu",0.87,0.958,6,-3.649,0,0.162,0.00542,0.0678,0.566,0.741,127.009,272126,4,"electronic trap"
"JOYRYDE","BRAVE","I SLAY","50gPjAfjdq6BjEz937C3hm",0.736,0.964,1,-2.291,1,0.294,0.00785,0.000497,0.131,0.372,100.019,196895,4,"bass house"
"JOYRYDE","BRAVE","I SLAY","50gPjAfjdq6BjEz937C3hm",0.736,0.964,1,-2.291,1,0.294,0.00785,0.000497,0.131,0.372,100.019,196895,4,"edm"
"JOYRYDE","BRAVE","I SLAY","50gPjAfjdq6BjEz937C3hm",0.736,0.964,1,-2.291,1,0.294,0.00785,0.000497,0.131,0.372,100.019,196895,4,"electro house"
